trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.9895601650784931}",25,0,-109.01632772286109,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9894085835444283}",20,0,-143.27676484342277,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9892559153390579}",25,0,-246.10806096140402,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
142,False,"{'a': 0.5, 'e': 0.9891021606300582}",20,0,-69.04614638493558,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9889473195862983}",30,0,-118.42098617634716,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9887913923778411}",20,0,-34.48343571145425,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.9886343791759419}",20,0,-121.60164677340677,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9884762801530488}",20,0,-53.68364704069246,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.9883170954828027}",25,0,-57.26043841026216,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9881568253400367}",35,0,-34.415142055737604,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.9879954699007761}",20,0,-23.13224212974034,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9878330293422384}",30,0,-135.1233758446315,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9876695038428324}",25,0,-59.67804908645039,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.987504893582159}",25,0,-65.62121466499174,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.9873391987410102}",20,0,-34.4366122980418,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.9871724195013692}",20,11,-6.585436471123064,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.9870045560464106}",30,0,-78.27628771559986,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
